Date,Open,High,Low,Close,Volume,Pips,Percent
01 Jan 2008 16:00,1.45855,1.47497,1.45835,1.47142,29922,128.7,0.8824
02 Jan 2008 16:00,1.47142,1.47807,1.46871,1.47505,34779,36.3,0.2467
03 Jan 2008 16:00,1.475,1.4825,1.46953,1.47379,35214,-12.1,-0.082
05 Jan 2008 16:00,1.47401,1.47509,1.4738,1.47415,595,1.4,0.0095
06 Jan 2008 16:00,1.47415,1.4751,1.46578,1.46949,32443,-46.6,-0.3161
07 Jan 2008 16:00,1.46949,1.47394,1.46799,1.47073,23706,12.4,0.0844
08 Jan 2008 16:00,1.47069,1.47422,1.4639,1.46589,35611,-48.0,-0.3264
09 Jan 2008 16:00,1.46594,1.48127,1.46403,1.48034,39507,144.0,0.9823
10 Jan 2008 16:00,1.48026,1.4819,1.47613,1.47717,35034,-30.9,-0.2087
12 Jan 2008 16:00,1.47792,1.47827,1.47737,1.47772,587,-2.0,-0.0135
13 Jan 2008 16:00,1.47773,1.49144,1.47773,1.48687,28053,91.4,0.6185
14 Jan 2008 16:00,1.48692,1.4922,1.48001,1.48038,34081,-65.4,-0.4398
15 Jan 2008 16:00,1.48033,1.48586,1.4594,1.46522,38197,-151.1,-1.0207
16 Jan 2008 16:00,1.46523,1.4715,1.45891,1.46417,39623,-10.6,-0.0723
17 Jan 2008 16:00,1.46424,1.46952,1.45977,1.46162,26539,-26.2,-0.1789
19 Jan 2008 16:00,1.46154,1.46154,1.45942,1.45985,780,-16.9,-0.1156
20 Jan 2008 16:00,1.4599,1.45996,1.44213,1.44539,31370,-145.1,-0.9939
21 Jan 2008 16:00,1.44534,1.46429,1.43659,1.46289,43836,175.5,1.2142
22 Jan 2008 16:00,1.46288,1.4684,1.4511,1.46299,48324,1.1,0.0075
23 Jan 2008 16:00,1.46294,1.47789,1.45907,1.47551,39540,125.7,0.8592
24 Jan 2008 16:00,1.47541,1.47774,1.46604,1.46763,34369,-77.8,-0.5273
26 Jan 2008 16:00,1.46774,1.46812,1.46692,1.46752,468,-2.2,-0.015
27 Jan 2008 16:00,1.46752,1.47978,1.46584,1.47808,35460,105.6,0.7196
28 Jan 2008 16:00,1.47823,1.4797,1.47373,1.47759,27191,-6.4,-0.0433
29 Jan 2008 16:00,1.47759,1.49064,1.47549,1.48613,35711,85.4,0.578
30 Jan 2008 16:00,1.48619,1.49141,1.4802,1.48599,45640,-2.0,-0.0135
31 Jan 2008 16:00,1.48599,1.49484,1.4786,1.47975,39802,-62.4,-0.4199
02 Feb 2008 16:00,1.48035,1.48075,1.47985,1.4801,217,-2.5,-0.0169
03 Feb 2008 16:00,1.48005,1.48487,1.47895,1.48288,33428,28.3,0.1912
04 Feb 2008 16:00,1.48288,1.48339,1.46221,1.46473,43342,-181.5,-1.224
05 Feb 2008 16:00,1.46478,1.46712,1.45915,1.46319,36300,-15.9,-0.1085
06 Feb 2008 16:00,1.46318,1.46514,1.44388,1.44846,43354,-147.2,-1.006
07 Feb 2008 16:00,1.44837,1.45466,1.44503,1.45006,36281,16.9,0.1167
09 Feb 2008 16:00,1.4501,1.45215,1.44995,1.45125,586,11.5,0.0793
10 Feb 2008 16:00,1.45125,1.45769,1.44814,1.45179,33083,5.4,0.0372
11 Feb 2008 16:00,1.45184,1.46145,1.44958,1.45839,37567,65.5,0.4512
12 Feb 2008 16:00,1.45839,1.45991,1.45313,1.45729,32651,-11.0,-0.0754
13 Feb 2008 16:00,1.45729,1.46466,1.45479,1.46424,24327,69.5,0.4769
14 Feb 2008 16:00,1.46419,1.47091,1.46307,1.4677,32831,35.1,0.2397
16 Feb 2008 16:00,1.46727,1.46775,1.46666,1.46749,573,2.2,0.015
17 Feb 2008 16:00,1.4675,1.46895,1.46108,1.46578,23149,-17.2,-0.1172
18 Feb 2008 16:00,1.46568,1.47562,1.46418,1.47253,29483,68.5,0.4674
19 Feb 2008 16:00,1.47258,1.47313,1.46138,1.47144,33721,-11.4,-0.0774
20 Feb 2008 16:00,1.47144,1.48371,1.47021,1.48136,32849,99.2,0.6742
21 Feb 2008 16:00,1.48141,1.48631,1.47881,1.48217,25831,7.6,0.0513
22 Feb 2008 16:00,1.48232,1.48232,1.48217,1.48217,2,-1.5,-0.0101
23 Feb 2008 16:00,1.48217,1.48357,1.48217,1.48342,604,12.5,0.0843
24 Feb 2008 16:00,1.48345,1.48438,1.47943,1.48298,26762,-4.7,-0.0317
25 Feb 2008 16:00,1.48298,1.4986,1.47773,1.49739,30341,144.1,0.9717
26 Feb 2008 16:00,1.49739,1.51434,1.49709,1.51199,41600,146.0,0.975
27 Feb 2008 16:00,1.51194,1.52296,1.50738,1.51929,37949,73.5,0.4861
28 Feb 2008 16:00,1.51909,1.52386,1.51431,1.51736,37422,-17.3,-0.1139
01 Mar 2008 16:00,1.51812,1.51907,1.51617,1.51902,652,9.0,0.0593
02 Mar 2008 16:00,1.51892,1.52759,1.51573,1.52036,32377,14.4,0.0948
03 Mar 2008 16:00,1.52031,1.52491,1.51733,1.52161,26582,13.0,0.0855
04 Mar 2008 16:00,1.52161,1.53018,1.51454,1.52646,26907,48.5,0.3187
05 Mar 2008 16:00,1.52646,1.53939,1.52611,1.53803,30660,115.7,0.758
06 Mar 2008 16:00,1.53793,1.54575,1.53143,1.53507,30719,-28.6,-0.186
08 Mar 2008 16:00,1.53457,1.53587,1.53452,1.53582,273,12.5,0.0815
09 Mar 2008 16:00,1.53582,1.54006,1.5313,1.53431,23927,-15.1,-0.0983
10 Mar 2008 16:00,1.5343,1.54952,1.52825,1.53376,41982,-5.4,-0.0352
11 Mar 2008 16:00,1.53371,1.55716,1.53311,1.55508,41663,213.7,1.3934
12 Mar 2008 16:00,1.55507,1.56452,1.55221,1.56353,45918,84.6,0.544
