Date,Open,High,Low,Close,Volume,Pips,Percent
01 Jan 2008 16:00,1.98615,1.98925,1.97724,1.98071,28646,-54.4,-0.2739
02 Jan 2008 16:00,1.98072,1.98381,1.97028,1.97082,33557,-99.0,-0.4998
03 Jan 2008 16:00,1.97092,1.98501,1.96721,1.97357,34653,26.5,0.1345
05 Jan 2008 16:00,1.97335,1.97352,1.97212,1.97352,258,1.7,0.0086
06 Jan 2008 16:00,1.97352,1.97551,1.96515,1.96987,30863,-36.5,-0.1849
07 Jan 2008 16:00,1.96988,1.98271,1.96588,1.97291,31328,30.3,0.1538
08 Jan 2008 16:00,1.973,1.97622,1.95519,1.95838,36310,-146.2,-0.741
09 Jan 2008 16:00,1.95838,1.96639,1.95394,1.96128,38257,29.0,0.1481
10 Jan 2008 16:00,1.96125,1.96346,1.94824,1.9562,37207,-50.5,-0.2575
11 Jan 2008 16:00,1.95657,1.95657,1.95633,1.95657,3,0.0,0.0
12 Jan 2008 16:00,1.9571,1.95899,1.9571,1.9576,523,5.0,0.0255
13 Jan 2008 16:00,1.9576,1.96472,1.95532,1.95575,32220,-18.5,-0.0945
14 Jan 2008 16:00,1.95575,1.97417,1.95235,1.96251,38677,67.6,0.3456
15 Jan 2008 16:00,1.96246,1.972,1.95285,1.96325,45216,7.9,0.0403
16 Jan 2008 16:00,1.96324,1.97908,1.96028,1.97133,44060,80.9,0.4121
17 Jan 2008 16:00,1.97125,1.9726,1.95127,1.95497,31049,-162.8,-0.8259
18 Jan 2008 16:00,1.95487,1.95487,1.95487,1.95487,2,0.0,0.0
19 Jan 2008 16:00,1.95539,1.95772,1.95463,1.95722,422,18.3,0.0936
20 Jan 2008 16:00,1.95722,1.95796,1.94268,1.94305,30324,-141.7,-0.724
21 Jan 2008 16:00,1.943,1.96298,1.9336,1.96041,37183,174.1,0.896
22 Jan 2008 16:00,1.96055,1.96425,1.94639,1.9551,41764,-54.5,-0.278
23 Jan 2008 16:00,1.95505,1.97782,1.94981,1.97635,40809,213.0,1.0895
24 Jan 2008 16:00,1.97635,1.98488,1.97284,1.98268,40505,63.3,0.3203
26 Jan 2008 16:00,1.98249,1.98438,1.98249,1.98359,474,11.0,0.0555
27 Jan 2008 16:00,1.98359,1.98909,1.97279,1.98407,30287,4.8,0.0242
28 Jan 2008 16:00,1.98401,1.99285,1.981,1.98919,24477,51.8,0.2611
29 Jan 2008 16:00,1.98919,1.99582,1.98335,1.9865,31161,-26.9,-0.1352
30 Jan 2008 16:00,1.98625,1.99449,1.9824,1.98711,38027,8.6,0.0433
31 Jan 2008 16:00,1.98711,1.99411,1.96425,1.96465,37503,-224.6,-1.1303
02 Feb 2008 16:00,1.9657,1.96585,1.965,1.96505,214,-6.5,-0.0331
03 Feb 2008 16:00,1.9651,1.97866,1.9623,1.97318,30908,80.8,0.4112
04 Feb 2008 16:00,1.97315,1.97607,1.96034,1.96467,34342,-84.8,-0.4298
05 Feb 2008 16:00,1.96467,1.96608,1.95532,1.96139,33520,-32.8,-0.1669
06 Feb 2008 16:00,1.96134,1.96229,1.9387,1.9422,36661,-191.4,-0.9759
07 Feb 2008 16:00,1.9422,1.95111,1.94015,1.9454,30539,32.0,0.1648
09 Feb 2008 16:00,1.94575,1.94667,1.94458,1.94545,582,-3.0,-0.0154
10 Feb 2008 16:00,1.94545,1.95294,1.94016,1.95063,30301,51.8,0.2663
11 Feb 2008 16:00,1.95067,1.96326,1.94364,1.95963,34220,89.6,0.4593
12 Feb 2008 16:00,1.95956,1.96646,1.95492,1.9627,34665,31.4,0.1602
13 Feb 2008 16:00,1.96275,1.97366,1.96126,1.96891,28998,61.6,0.3138
14 Feb 2008 16:00,1.96891,1.97229,1.9579,1.9607,31900,-82.1,-0.417
16 Feb 2008 16:00,1.95989,1.95989,1.95615,1.9568,647,-30.9,-0.1577
17 Feb 2008 16:00,1.9568,1.96366,1.94739,1.95232,24078,-44.8,-0.2289
18 Feb 2008 16:00,1.95232,1.95413,1.94526,1.9482,31932,-41.2,-0.211
19 Feb 2008 16:00,1.9481,1.9501,1.93612,1.94169,35791,-64.1,-0.329
20 Feb 2008 16:00,1.94174,1.96417,1.94079,1.96265,33392,209.1,1.0769
21 Feb 2008 16:00,1.96265,1.97075,1.9608,1.96644,29061,37.9,0.1931
23 Feb 2008 16:00,1.9663,1.96927,1.96575,1.969,616,27.0,0.1373
24 Feb 2008 16:00,1.96897,1.9699,1.96151,1.9671,25471,-18.7,-0.095
25 Feb 2008 16:00,1.96709,1.9875,1.96413,1.98698,33209,198.9,1.0111
26 Feb 2008 16:00,1.98693,1.99717,1.97883,1.98167,42942,-52.6,-0.2647
27 Feb 2008 16:00,1.98155,1.99475,1.97608,1.9886,34236,70.5,0.3558
28 Feb 2008 16:00,1.98844,1.9922,1.97834,1.98868,38367,2.4,0.0121
01 Mar 2008 16:00,1.98776,1.98861,1.98726,1.98839,404,6.3,0.0317
02 Mar 2008 16:00,1.98836,1.99362,1.98073,1.98352,32357,-48.4,-0.2434
03 Mar 2008 16:00,1.98347,1.98915,1.98118,1.98617,32205,27.0,0.1361
04 Mar 2008 16:00,1.98617,1.99668,1.97147,1.99185,33526,56.8,0.286
05 Mar 2008 16:00,1.9918,2.0115,1.98937,2.00902,36327,172.2,0.8645
06 Mar 2008 16:00,2.00907,2.02159,2.00822,2.01302,33060,39.5,0.1966
08 Mar 2008 16:00,2.01396,2.01441,2.01351,2.01434,311,3.8,0.0189
09 Mar 2008 16:00,2.01435,2.0219,2.00887,2.00915,29708,-52.0,-0.2581
10 Mar 2008 16:00,2.00915,2.02101,1.99936,2.00631,39074,-28.4,-0.1414
11 Mar 2008 16:00,2.00636,2.02804,2.00531,2.02683,39206,204.7,1.0203
12 Mar 2008 16:00,2.02682,2.03906,2.02473,2.0332,41073,63.8,0.3148
13 Mar 2008 16:00,2.03324,2.03973,2.01758,2.01905,43968,-141.9,-0.6979
15 Mar 2008 16:00,2.0191,2.0191,2.01596,2.01735,360,-17.5,-0.0867
16 Mar 2008 16:00,2.01735,2.02305,1.9941,1.9988,44002,-185.5,-0.9195
17 Mar 2008 16:00,1.9987,2.02729,1.99525,2.00625,37744,75.5,0.3777
18 Mar 2008 16:00,2.0065,2.0151,1.98028,1.984,41281,-225.0,-1.1214
19 Mar 2008 16:00,1.984,1.9878,1.97333,1.9848,36623,8.0,0.0403
20 Mar 2008 16:00,1.9848,1.98809,1.98075,1.9809,6141,-39.0,-0.1965
22 Mar 2008 16:00,1.98172,1.98172,1.98095,1.98115,31,-5.7,-0.0288
23 Mar 2008 16:00,1.98115,1.98761,1.97581,1.98548,16891,43.3,0.2186
24 Mar 2008 16:00,1.98548,2.00655,1.98461,2.00565,33730,201.7,1.0159
25 Mar 2008 16:00,2.00575,2.0111,1.99256,2.00856,31833,28.1,0.1401
26 Mar 2008 16:00,2.00846,2.01919,2.00231,2.00711,38495,-13.5,-0.0672
27 Mar 2008 16:00,2.00711,2.00891,1.98805,1.994,35684,-131.1,-0.6532
29 Mar 2008 16:00,1.9942,1.99617,1.99415,1.99537,376,11.7,0.0587
30 Mar 2008 16:00,1.99537,1.99782,1.98123,1.98357,35728,-118.0,-0.5914
31 Mar 2008 16:00,1.98357,1.98735,1.97282,1.97576,38459,-78.1,-0.3937
01 Apr 2008 16:00,1.97567,1.98986,1.97456,1.98726,44426,115.9,0.5866
02 Apr 2008 16:00,1.98716,1.99743,1.97581,1.99644,42917,92.8,0.467
03 Apr 2008 16:00,1.99645,2.00477,1.991,1.99284,36224,-36.1,-0.1808
05 Apr 2008 16:00,1.99323,1.9952,1.99263,1.99485,188,16.2,0.0813
06 Apr 2008 16:00,1.99485,1.99485,1.98338,1.98807,31474,-67.8,-0.3399
07 Apr 2008 16:00,1.98817,1.99257,1.9664,1.96948,39548,-186.9,-0.9401
08 Apr 2008 16:00,1.9695,1.97905,1.96495,1.9757,35808,62.0,0.3148
09 Apr 2008 16:00,1.9756,1.98426,1.97058,1.9707,39790,-49.0,-0.248
10 Apr 2008 16:00,1.9707,1.97677,1.96814,1.9686,32504,-21.0,-0.1066
12 Apr 2008 16:00,1.9681,1.9681,1.96467,1.96482,598,-32.8,-0.1667
13 Apr 2008 16:00,1.96482,1.98931,1.96482,1.97828,38648,134.6,0.6851
14 Apr 2008 16:00,1.9783,1.97894,1.9599,1.96237,41632,-159.3,-0.8052
15 Apr 2008 16:00,1.96235,1.98048,1.9599,1.97212,40329,97.7,0.4979
16 Apr 2008 16:00,1.97214,1.99232,1.96907,1.9911,42366,189.6,0.9614
