Date,Open,High,Low,Close,Volume,Pips,Percent
28 Dec 2007 16:00,112.424,112.631,107.896,108.559,119061,-38650.0,-3.4379
04 Jan 2008 16:00,108.597,110.123,108.352,108.803,188877,2060.0,0.1897
11 Jan 2008 16:00,108.82,108.915,105.911,106.821,190203,-19990.0,-1.837
18 Jan 2008 16:00,106.783,107.884,104.958,106.667,221910,-1160.0,-0.1086
25 Jan 2008 16:00,106.757,107.459,105.712,106.435,204504,-3220.0,-0.3016
01 Feb 2008 16:00,106.485,107.811,105.907,107.28,195693,7950.0,0.7466
08 Feb 2008 16:00,107.23,108.592,106.333,107.77,167333,5400.0,0.5036
15 Feb 2008 16:00,107.82,108.362,106.725,107.127,147481,-6930.0,-0.6427
22 Feb 2008 16:00,107.122,108.212,103.643,103.681,171721,-34410.0,-3.2122
29 Feb 2008 16:00,103.691,104.18,101.424,102.625,181159,-10660.0,-1.0281
07 Mar 2008 16:00,102.573,103.584,98.893,99.037,243353,-35360.0,-3.4473
14 Mar 2008 16:00,98.942,100.433,95.715,99.515,223767,5730.0,0.5791
21 Mar 2008 16:00,99.529,101.03,98.552,99.19,183200,-3390.0,-0.3406
28 Mar 2008 16:00,99.112,102.937,98.782,101.423,208069,23110.0,2.3317
04 Apr 2008 16:00,101.53,102.853,100.019,100.963,186622,-5670.0,-0.5585
11 Apr 2008 16:00,100.913,104.644,100.3,103.627,194309,27140.0,2.6894
18 Apr 2008 16:00,103.632,104.817,102.672,104.377,193748,7450.0,0.7189
25 Apr 2008 16:00,104.348,105.689,103.208,105.344,169079,9960.0,0.9545
02 May 2008 16:00,105.332,105.614,102.604,102.809,173873,-25230.0,-2.3953
09 May 2008 16:00,102.785,105.434,102.523,104.004,186226,12190.0,1.186
16 May 2008 16:00,104.106,104.686,102.727,103.337,185032,-7690.0,-0.7387
23 May 2008 16:00,103.231,105.862,103.111,105.467,142280,22360.0,2.166
30 May 2008 16:00,105.453,106.423,103.867,104.881,184168,-5720.0,-0.5424
06 Jun 2008 16:00,104.871,108.377,104.375,108.142,190454,32710.0,3.1191
13 Jun 2008 16:00,108.141,108.583,107.121,107.289,173035,-8520.0,-0.7879
20 Jun 2008 16:00,107.284,108.399,105.86,106.093,169014,-11910.0,-1.1101
27 Jun 2008 16:00,106.077,106.926,104.979,106.755,157289,6780.0,0.6392
04 Jul 2008 16:00,106.715,107.747,105.647,106.225,199280,-4900.0,-0.4592
11 Jul 2008 16:00,106.083,107.087,103.769,106.911,229358,8280.0,0.7805
18 Jul 2008 16:00,106.911,107.973,106.052,107.788,201062,8770.0,0.8203
25 Jul 2008 16:00,107.776,108.366,107.271,107.635,204165,-1410.0,-0.1308
01 Aug 2008 16:00,107.635,110.359,107.44,110.117,232315,24820.0,2.3059
08 Aug 2008 16:00,110.135,110.655,108.361,110.472,226024,3370.0,0.306
15 Aug 2008 16:00,110.47,110.525,108.123,110.012,191518,-4580.0,-0.4146
22 Aug 2008 16:00,110.011,110.278,108.425,108.762,202401,-12490.0,-1.1353
29 Aug 2008 16:00,108.565,109.174,105.507,107.692,231624,-8730.0,-0.8041
05 Sep 2008 16:00,107.692,109.07,106.047,107.895,328032,2030.0,0.1885
12 Sep 2008 16:00,107.795,108.033,103.536,107.402,368503,-3930.0,-0.3646
19 Sep 2008 16:00,107.405,107.422,105.028,105.96,316230,-14450.0,-1.3454
26 Sep 2008 16:00,105.885,106.955,103.48,105.27,353074,-6150.0,-0.5808
03 Oct 2008 16:00,105.27,105.38,97.859,100.57,437737,-47000.0,-4.4647
10 Oct 2008 16:00,100.57,103.042,99.245,101.602,425424,10320.0,1.0262
17 Oct 2008 16:00,101.498,102.403,90.878,94.205,453953,-72930.0,-7.1854
24 Oct 2008 16:00,94.255,99.675,91.895,98.412,426318,41570.0,4.4104
31 Oct 2008 16:00,98.387,100.549,96.742,98.19,369111,-1970.0,-0.2002
07 Nov 2008 16:00,98.145,99.477,94.473,97.02,432861,-11250.0,-1.1463
14 Nov 2008 16:00,96.967,97.541,93.541,95.91,428390,-10570.0,-1.0901
21 Nov 2008 16:00,95.86,97.417,94.586,95.475,297843,-3850.0,-0.4016
28 Nov 2008 16:00,95.475,95.613,91.562,92.783,312124,-26920.0,-2.8196
05 Dec 2008 16:00,92.745,93.908,88.155,91.137,430172,-16080.0,-1.7338
12 Dec 2008 16:00,91.092,91.87,87.114,89.26,269119,-18320.0,-2.0112
19 Dec 2008 16:00,89.229,90.971,89.035,90.76,107688,15310.0,1.7158
26 Dec 2008 16:00,90.755,92.423,89.746,91.778,125549,10230.0,1.1272
02 Jan 2009 16:00,92.09,94.595,90.148,90.338,260498,-17520.0,-1.9025
09 Jan 2009 16:00,90.348,90.904,88.473,90.69,399611,3420.0,0.3785
16 Jan 2009 16:00,90.64,91.285,87.097,88.728,388341,-19120.0,-2.1094
